Metin,Sınıflandırma
"Avrupa kafasıyla imzalanmış bir sözleşmeye göre İslam kökenli toplummuşuz, abi. İstanbul Sözleşmesi Müslümanları Hristiyanları ayırmasın, kadını koruyor illa şeyi dine bağlayacaksınız amk.",Nefret
"Avrupa'nın kafasızca imzaladığı bir sözleşmeyle bizi İslam kökenli olarak tanımlayanlar var. Bu İstanbul Sözleşmesi Müslümanları Hristiyanlardan ayırma gibi saçmalık değil mi, abi?",Nefret
"Kadını koruma için neden dine sığınmak lazım? İnsanı insan yapalım, amk.",Nefret
ülkede oturup türk vatandaşı olup türkler 800900yüzyılları müslümanlığa geçmiş olmasına rağmen hala müslümanlıkla sorunu olan varsa bşka ülkeye gitsin hristiyan yahudi şaman budist ataist olmak istiyosa olsunyeteter karışmayın müslümanlara salın aq,NEFRET
Müslümanlarla problemi olan Türklerin başka ülkeye gitmesi gerekir.,NEFRET
"Hristiyan, Yahudi, Şaman, Budist veya Ataist olmak isteyorsanız, Türk toplumuna karışmayın.",NEFRET
Türk vatandaşı olarak 800-900 yüzyıl boyunca Müslümanlığa geçmiş ve hala Müslümanlıkla problemi olanların başka ülkeye gitmesi gerektiği aşikardır.,NEFRET
gtün teki 57 müslüman ülke hıristiyan aşısı bekliyor demiş videoyu izler şimdi gt oylarımız lacevap vereceğiz,SALDIRGAN
Hadi gelin 57 İslam ülkesinin Hıristiyan aşıları beklediği bir video izleyin! Şimdi oy kullanmak için gt'ye tıklayın!,SALDIRGAN
"Bakın, 57 Müslüman ülke Hıristiyan aşısı bekliyor ve bu videoyu izlemek istiyorsunuz! Şimdi GT'ye gitmek için tıklayın.",SALDIRGAN
Hadi bakalım! 57 Müslüman ülkenin Hıristiyan aşıları için bir video var. Oy verin şimdi!,SALDIRGAN
57 Müslüman ülke Hıristiyan aşısı bekliyor. Şimdi bu videoyu izleyin ve gt'ye tıklayarak oy verin.,SALDIRGAN
"Cihangir İslam bir soysuz çıkıyor, Cihangir Hristiyan bir soylu vatansever çıkmıyor bunlar tesadüf.",NEFRET
"Cihangir gibi en düşük zekaya sahip bir Müslümanın hiçbir değeri yok ve hiç kimseye zarar veremezken, Hristiyan olduğu için her şeyinden fazlasını bekliyorlar bu da gerçek tesadüf.",NEFRET
Bu kadar düşük seviyededeki bir insan nasıl olur ki bir Müslüman olabilirdi?,NEFRET
Ama Hristiyan olduğu için değişti ve şimdi en üstün insanlar arasında yer aldı.,NEFRET
teroristlere varsan baksan gariban fakir çocuklarıdır bazısıda öksüz yetim çocuklkarıdır bilerek bulunarak toplanmışlardır terore yem olarak bulundurulmuşlardır imkan olsa yavrularımızı kurtarabilsek hdp önünde 18 kadın eylem yapmıştır dangalaklar yokmu dangalaklar,NEFRET
"teroristlerin yavrularını terkeden anne ve babalarıdır bunlar, bilerek çocuklarını teröre gönderenlerdir, imkan olsa bu çocukları kurtarabilseydik",NEFRET
"dangalakların işlediği suçlardan dolayı HDP'li 18 kadın eylem yapmıştır, bu ne kadar büyük bir utanç değildir?",NEFRET
