row_id,tweet,etiket
Row589,orospu cocuklari hepiniz ayni anda yaziyonuz tam ciddi iliski yapcam geliyo surprise motherfucker cikiyo sonra suriyeli uruyolar aklim karisiyo,nefret
Row593,ciddiye alan dünyanın beynini sileyim işi gücü boş gündem 2 sene oldu membice giriyor 1 senedir fırat ın doğusuna 6 senedir suriye savaş bitiyor sonuç 5 milyon suriyeli bize girdi,saldırgan
Row600,kayıtlı geçiş programına göre şimdilik bursa adana hatay konya istihdam edilecek bir suriyeli türk işçi sosyal güvenlik prim bedeline karşılık 6 ay boyunca aylık 950 tl teşvik sağlanacakmış değil mi promosyon yazıklar olsun,hiçbiri
Row604,hastaneye git suriyeli ptt ye git suriyeli plaja git suriyeli git bakalım camiye var suriyeli neymiş din kardeşi hadi oradan,nefret
Row607,cölesi bitmiş suriyeli gibiyim bugün,hiçbiri
Row612,çocuklar sadece türkiye değil irak suriye terör örgütlerinin uzantıları aracılığıyla savaştırılıyor iraklı suriyeli çocuklar örgüt tarafından kandırılarak kaçırılarak alıkonuluyor,hiçbiri
Row619,suriyeli olduğunuzu biliyorduk,hiçbiri
Row621,keşke sadece suriyeli çalıştıran işverene teşvik verseler,hiçbiri
Row635,sizin suriyeli afgan pakistanlı politikanıza nokta nokta nokta,hiçbiri
Row639,ülkemde büyükelçi dahil suriyeli istemiyorum,nefret
Row641,sanal teröristler kendilerini bazen bir ateist bazen deist bazen tarikatci bazen suriyeli mülteci bazen chp li bazen akp li bazen ülkücü bazen radikal solcu bazen taraftarı bazende reisci gösterdikleri sahte profillerle provakasyonel paylaşımlar yapıyor,hiçbiri
Row644,ülkenin ismini mahmood koyalım bayrağımızda yıldız yerine plaj nargile olsun verenlere suriyeli çalıştırma zorunluluğu getirelim arapçayı önce ikinci resmi dil yapalım sonra özümüze osmanlıya dönüyoruz tek resmi dil olsun bunu istiyorsunuz çocukları,saldırgan
Row645,ay önce ankara yı gezip gitme vakti gelincede yorgunluktan merdivenlere oturmuştum bitap halde aştideyken suriyeli sanıp önüme para falan koyan olmuşlardı baya üzüldüm evet,nefret
Row646,1 suriyeli 1 türk işçi alana devletten teşvik,hiçbiri
Row655,hatta hassas konularda süresiz nafaka szl 6284 skm eyt suriyeli mülteciler cemaat tarikatlar kadın ölümleri vb sosyal medyada halk arasında sanal çatışma çıkartmakla görevli sahte hesap yaklaşık 65 bin fetöcü sanal olduğu tahmin edilmektedir,hiçbiri
Row657,1 milyon suriyeli sınıra dayandı halk diyor,hiçbiri
Row659,bir 100 yıl önceki gazetesini okuyabiliyor bir fransız yunan rus okuyabiliyor çinli japon tayvanlı suriyeli ermeni gürcü okuyabiliyor peki bir türk 100 yıl önce,hiçbiri
Row661,irmağa giren suriyeli boğuldu,hiçbiri
Row662,parasini çalışma bakanlığı öncülüğünde başlatılan programa göre suriyeli işçi çalıştırılan iş yerlerine 11 bin 400 tl ye kadar teşvik verilecek,hiçbiri
Row668,1 suriyeli alana 1 türk hediye yakında,nefret
Row669,kadar işsiz türk genci varken suriyeli çalıştırana teşvik olacak suriyelileri isyemiyoruz türkiye ekonomisinin çökme noktasında olmasının büyük sebeplerinden suriye lilerdir,nefret
Row677,ülke işsiz gençlerle dolu vatandaşın parası suriyeli istihdamına harcanıyor sözde yerli milli sandıkta görüşürüz,hiçbiri
Row690,al sana suriyeli sabah şirkete geldim baktım jeneratörle çalışıyoruz kesinti arıza vardır dedim ayedaş ı aradık bölgede çalışma yok dediler sürecek,nefret
Row692,muhteşem bir miting düzenlemişsin baya baya fransızların öncülerinde bir miting olmuş ülkemizin paraları görüyoruz yerli araba üretsek bile yine batının ürettiklerinden vazgeçmeyiz kadar parayı fakir fukaraya ver hayır dua kazan suriyeli kere değil,nefret
Row695,onlara suriyeli diyorsunuz onlar suriyesiz först leydi e erdoğan,hiçbiri
Row697,bir suriyeli mahalledeki siyagi sayısı çoğaldı sitem etti troll ciddi mi baktım ciddi bir d ddd,nefret
Row700,olm kocasinanda kayboldum 3 kişiye yol sordum 3üde suriyeli aq dediğimi anlamıyolar anlasalar bilmiyorlar düştüm ben allahım türk yok türk ağlıcam şimdi,nefret
Row735,peki sokakta gördüğüm yakışıklı çocuğun suriyeli cikmasi sevdaya dahil mi kuzen zeyneptekdemi13,hiçbiri
Row739,1 suriyeli 1 türk işe alacağına 1 türk 1 türk işçi işe alın amk,nefret
Row745,kral selman yardım merkezi lübnan daki suriyeli mültecilere yardım kartı dağıttı,hiçbiri
Row746,aaa suriyeli tanıyan varmı,hiçbiri
Row759,suriyeli aile evini kaçak muayenehaneye babasının evini ecza deposuna çevirmiş,nefret
Row771,adana bursa hatay konya 1100 suriyeli 1100 türk işçi teşvik sağlanacak ayrıca 1600 suriyeli işçinin çalışma izni ücretleri karşılanacak,hiçbiri
Row786,herşey güzel oldu güzel olacak ülkeyi ele alsınlar bakın ozaman aşağıladığınız suriyeli savaş mağdurları varya onlar bize sığında bizim gidecek bir yerimiz yok hiçbir farkımız kalmayacak onlar olacağız kadar vatan haini varken,hiçbiri
Row800,suriyeli hangisini,hiçbiri
Row824,ülkede ülkemizi sömüren kültür ananelerimizi yok eden ekonomimizi mahveden asalak suriyeli istemiyoruz,nefret
Row829,dayı suriyeli galiba çaktırmıyor,hiçbiri
Row835,deki rejim saldırıları göç riskini artırıyormuş dolu otobüs gibiyiz suriyeli alacak yer kalmadı arkalara doğru ilerleyemiyoruz,hiçbiri
Row837,senin ülkenin cumhurbaşkanı nın fotoğrafını ayaklar altına alıp yakıyorlar sen nefret ettiğin suriyeli 3 5 kişiyi destekliyorsun sizin atatürk anlayışı ilginiz yok düşmanının bayrağını liderinin fotoğrafını asla yaktırmazdı,hiçbiri
Row842,akp trolleri uyguluyormuş u terk etmeleri bekleniyor not giderken yanınıza birer suriyeli almayı unutmayın,nefret
Row848,suriyeli ehliyetsiz sürücü polisin takibinden kaçamadı samsun haberleri,nefret
Row850,emekli olduğu halde çalışan 62 yaşında bir işçi 2017 doldurduğum bir market arabasının bugün çeyreğini doldurabiliyorum geçinemiyorum diyor suriyeli işçiler ucuz işgücü olarak görüldüklerini ayrımcılığa maruz kaldıklarını anlatıyor,hiçbiri
Row858,ankara kendisini doktor olarak tanıtan suriyeli kadın evini merdiven altı muayenehaneye babasının evini ecza deposuna çevirdi yabancılara olumsuz koşullarda sağlık hizmeti veren suriye uyruklu 3 kişi yakalandı sptnk,nefret
Row859,suriyeli ler mutmain bizler pejmürde olduk,nefret
Row864,suriyeli sığınmacılar gitmeliler mi kalmalılar,hiçbiri
Row879,şuan suriyeli olsam doktora girmiş çıkmıştım,nefret
Row898,bakan soylu türkiye 450 bin suriyeli çocuk doğdu,hiçbiri
Row915,türkiye suriyeli olmak,hiçbiri
Row931,ankara dayım vakit geçirmek kızılay bir internet cafeye geldim arkamda 3 tane suriyeli fortnite oynuyor iç savaş sesleri çıkarıyolar nası info vermek allahu ekber amk,nefret
Row943,1 suriyeli 1 afgan alsak kaça bırakırsın fiş almıycaz,nefret
Row966,tranvaydaki yolcuların 80 ni suriyeli olan gaziantep halep deyim valla yüksek ses konuşma saygısızlık kendi ülkelerinde olsalar kadar rahat olamazlar yazık ettiler bizlere,nefret
Row993,öncelikle güzel ülkem türkiye me selamlar camide suriyeli yok iddiası var h hatemi hocam satır karalarmı sınız,nefret
