model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy
XGBoost,Under-Sampling,0.5095354523227383,0.6575901117758006,0.5095354523227383,0.5646169098292118,0.3695652173913044,0.5095354523227383
CatBoostC,Under-Sampling,0.6440097799511002,0.7080178858853468,0.6440097799511002,0.6674804861339697,0.47826086956521735,0.6440097799511002
MLPC-sgd,Under-Sampling,0.7466992665036675,0.557559794597115,0.7466992665036675,0.6384153303197649,0.3333333333333333,0.7466992665036675
ExtraTreesClassifier,Under-Sampling,0.6332518337408313,0.7261700861211683,0.6332518337408313,0.6652686178056041,0.47826086956521735,0.6332518337408313
XGBoost,Over-Sampling,0.6381418092909535,0.7184951030066614,0.6381418092909535,0.6588627681405055,0.4382566585956416,0.6381418092909535
CatBoostC,Over-Sampling,0.6581907090464547,0.727098286516982,0.6581907090464547,0.6823021112184453,0.6886736615550175,0.6581907090464547
MLPC-sgd,Over-Sampling,0.8019559902200489,0.7874559613439057,0.8019559902200489,0.7918328320509477,0.9390368576809255,0.8019559902200489
ExtraTreesClassifier,Over-Sampling,0.8273838630806846,0.8211581691741373,0.8273838630806846,0.7955818168049512,0.9839117567931127,0.8273838630806846
XGBoost,SMOTE,0.6205378973105135,0.6508394808079272,0.6205378973105135,0.6090517132553599,0.455044390637611,0.6205378973105135
CatBoostC,SMOTE,0.7403422982885085,0.7170896335321763,0.7403422982885085,0.7249969379249598,0.8239978477266613,0.7403422982885085
MLPC-sgd,SMOTE,0.8058679706601467,0.791429485059973,0.8058679706601467,0.7953933164260065,0.933871401668012,0.8058679706601467
ExtraTreesClassifier,SMOTE,0.8273838630806846,0.8228334102571414,0.8273838630806846,0.7993982645123894,0.9652407855797686,0.8273838630806846
