model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy
XGBoost,Under-Sampling,0.7447432762836186,0.5574622465122969,0.7447432762836186,0.6376355384833673,0.36231884057971014,0.7447432762836186
CatBoostC,Under-Sampling,0.7383863080684596,0.7182721795030548,0.7383863080684596,0.6391073421502371,0.35748792270531404,0.7383863080684596
MLPC-sgd,Under-Sampling,0.013691931540342298,0.0001874689893054202,0.013691931540342298,0.0003698736933232844,0.3333333333333333,0.013691931540342298
ExtraTreesClassifier,Under-Sampling,0.3095354523227384,0.6727032185641018,0.3095354523227384,0.2534120249048235,0.3913043478260869,0.3095354523227384
XGBoost,Over-Sampling,0.2396088019559902,0.05741237797478494,0.2396088019559902,0.09262983270882462,0.3449018025289212,0.2396088019559902
CatBoostC,Over-Sampling,0.2371638141809291,0.6181486862841096,0.2371638141809291,0.09890916658396938,0.6075329566854991,0.2371638141809291
MLPC-sgd,Over-Sampling,0.7383863080684596,0.6230981692527701,0.7383863080684596,0.6440928476812778,0.664030131826742,0.7383863080684596
ExtraTreesClassifier,Over-Sampling,0.7897310513447433,0.7858351199314055,0.7897310513447433,0.7393722747828305,0.9837503362927092,0.7897310513447433
XGBoost,SMOTE,0.24009779951100244,0.8041397327259939,0.24009779951100244,0.09364374255766049,0.39009954264191543,0.24009779951100244
CatBoostC,SMOTE,0.7506112469437652,0.7995415197371188,0.7506112469437652,0.6484315697478267,0.8844767285445251,0.7506112469437652
MLPC-sgd,SMOTE,0.7452322738386308,0.6822035740789999,0.7452322738386308,0.6498933479503115,0.7736346516007533,0.7452322738386308
ExtraTreesClassifier,SMOTE,0.7887530562347188,0.7842287144906595,0.7887530562347188,0.7387461571157363,0.9511433952111918,0.7887530562347188
