model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy
XGBoost,Under-Sampling,0.6264058679706601,0.6347017545271905,0.6264058679706601,0.6303623506936571,0.3333333333333333,0.6264058679706601
CatBoostC,Under-Sampling,0.5119804400977995,0.7012931523157435,0.5119804400977995,0.5733309891699646,0.45893719806763283,0.5119804400977995
MLPC-sgd,Under-Sampling,0.20244498777506112,0.6621240364270823,0.20244498777506112,0.24674215185157422,0.38647342995169076,0.20244498777506112
ExtraTreesClassifier,Under-Sampling,0.49339853300733494,0.7144449205645036,0.49339853300733494,0.5577858356038657,0.5144927536231885,0.49339853300733494
XGBoost,Over-Sampling,0.2938875305623472,0.6309468584679232,0.2938875305623472,0.22549109881644047,0.33440947000269033,0.2938875305623472
CatBoostC,Over-Sampling,0.6669926650366749,0.7481551692230886,0.6669926650366749,0.6970050768681457,0.7357546408393866,0.6669926650366749
MLPC-sgd,Over-Sampling,0.7726161369193154,0.780073910877911,0.7726161369193154,0.7761152173651298,0.8566585956416466,0.7726161369193154
ExtraTreesClassifier,Over-Sampling,0.7628361858190709,0.8063134639595191,0.7628361858190709,0.6746057809467082,0.9862254506322303,0.7628361858190709
XGBoost,SMOTE,0.2396088019559902,0.05741237797478494,0.2396088019559902,0.09262983270882462,0.36863061608824316,0.2396088019559902
CatBoostC,SMOTE,0.7735941320293398,0.7528107491638911,0.7735941320293398,0.7411515592040571,0.8174334140435836,0.7735941320293398
MLPC-sgd,SMOTE,0.776039119804401,0.7779083451197722,0.776039119804401,0.7768841825426179,0.8709712133440947,0.776039119804401
ExtraTreesClassifier,SMOTE,0.7799511002444988,0.7956635550575962,0.7799511002444988,0.7144830039226291,0.9640570352434757,0.7799511002444988
