model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy
XGBoost,Under-Sampling,0.7437652811735941,0.5575501150476575,0.7437652811735941,0.637334222419797,0.3357487922705314,0.7437652811735941
CatBoostC,Under-Sampling,0.5266503667481662,0.6784295980459428,0.5266503667481662,0.5809084261817494,0.4855072463768116,0.5266503667481662
MLPC-sgd,Under-Sampling,0.5114914425427873,0.6981192263978314,0.5114914425427873,0.56881666496536,0.4106280193236715,0.5114914425427873
ExtraTreesClassifier,Under-Sampling,0.556479217603912,0.740135399322862,0.556479217603912,0.6139464031302234,0.533816425120773,0.556479217603912
XGBoost,Over-Sampling,0.29682151589242056,0.6583538870591151,0.29682151589242056,0.3057447151651328,0.3418348130212537,0.29682151589242056
CatBoostC,Over-Sampling,0.6963325183374083,0.753973885412959,0.6963325183374083,0.7193417392948225,0.7485068603712671,0.6963325183374083
MLPC-sgd,Over-Sampling,0.832762836185819,0.8285802939423141,0.832762836185819,0.8303986865798468,0.9494753833736885,0.832762836185819
ExtraTreesClassifier,Over-Sampling,0.8024449877750611,0.8251092212835346,0.8024449877750611,0.7510225224076662,0.9863868711326339,0.8024449877750611
XGBoost,SMOTE,0.2396088019559902,0.05741237797478494,0.2396088019559902,0.09262983270882462,0.39892386333064306,0.2396088019559902
CatBoostC,SMOTE,0.767237163814181,0.7453820528076922,0.767237163814181,0.749831730620505,0.8355663169222493,0.767237163814181
MLPC-sgd,SMOTE,0.8352078239608802,0.8331876566028675,0.8352078239608802,0.8341407203725756,0.9404896421845574,0.8352078239608802
ExtraTreesClassifier,SMOTE,0.79559902200489,0.8101592616492123,0.79559902200489,0.7426270168688798,0.9597524885660479,0.79559902200489
