model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy
XGBoost,Under-Sampling,0.4102689486552567,0.6326681653246251,0.4102689486552567,0.4280388951475887,0.3695652173913044,0.4102689486552567
CatBoostC,Under-Sampling,0.5545232273838631,0.6947910642326474,0.5545232273838631,0.605369518144594,0.4879227053140096,0.5545232273838631
MLPC-sgd,Under-Sampling,0.5300733496332518,0.7261427094807171,0.5300733496332518,0.6065311265402523,0.4806763285024154,0.5300733496332518
ExtraTreesClassifier,Under-Sampling,0.5491442542787286,0.747378496008514,0.5491442542787286,0.6112365787596845,0.5386473429951691,0.5491442542787286
XGBoost,Over-Sampling,0.022004889975550123,0.8321424024011673,0.022004889975550123,0.019620963780231933,0.35275760021522734,0.022004889975550123
CatBoostC,Over-Sampling,0.7085574572127139,0.7643728054902549,0.7085574572127139,0.7307394895252735,0.749313962873285,0.7085574572127139
MLPC-sgd,Over-Sampling,0.8366748166259169,0.8320275601711585,0.8366748166259169,0.8340288412594014,0.9533494753833738,0.8366748166259169
ExtraTreesClassifier,Over-Sampling,0.789242053789731,0.8176749955061983,0.789242053789731,0.7284874608985384,0.9867635189669088,0.789242053789731
XGBoost,SMOTE,0.23667481662591688,0.05824082521378438,0.23667481662591688,0.09326248302091822,0.47925746569814365,0.23667481662591688
CatBoostC,SMOTE,0.7750611246943765,0.7501122442982812,0.7750611246943765,0.7504386915824807,0.8392789884315307,0.7750611246943765
MLPC-sgd,SMOTE,0.8366748166259169,0.830694918498291,0.8366748166259169,0.833306726716856,0.9483454398708636,0.8366748166259169
ExtraTreesClassifier,SMOTE,0.7867970660146699,0.8155873610708242,0.7867970660146699,0.7238500112549312,0.9601291364003228,0.7867970660146699
