model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy
XGBoost,Under-Sampling,0.013691931540342298,0.0001874689893054202,0.013691931540342298,0.0003698736933232844,0.32850241545893716,0.013691931540342298
CatBoostC,Under-Sampling,0.49779951100244496,0.69280455043867,0.49779951100244496,0.5567203737246547,0.43719806763285024,0.49779951100244496
MLPC-sgd,Under-Sampling,0.4963325183374083,0.6773985151234119,0.4963325183374083,0.5658100095215349,0.4830917874396135,0.4963325183374083
ExtraTreesClassifier,Under-Sampling,0.6019559902200489,0.7526797826663255,0.6019559902200489,0.6533982546175323,0.5603864734299517,0.6019559902200489
XGBoost,Over-Sampling,0.07383863080684597,0.5590891862039353,0.07383863080684597,0.11046800085182826,0.35598601022329834,0.07383863080684597
CatBoostC,Over-Sampling,0.7012224938875306,0.7619246811117365,0.7012224938875306,0.7249652562645343,0.7583535108958838,0.7012224938875306
MLPC-sgd,Over-Sampling,0.8420537897310514,0.837977812944816,0.8420537897310514,0.8398772181999302,0.9549098735539413,0.8420537897310514
ExtraTreesClassifier,Over-Sampling,0.7833740831295843,0.8107393367212573,0.7833740831295843,0.7177808334228963,0.9866020984665053,0.7833740831295843
XGBoost,SMOTE,0.20097799511002445,0.5930430834219854,0.20097799511002445,0.23997680954587133,0.34210384718859294,0.20097799511002445
CatBoostC,SMOTE,0.78239608801956,0.7639352682392094,0.78239608801956,0.7613290224414989,0.8441216034436373,0.78239608801956
MLPC-sgd,SMOTE,0.8469437652811735,0.8437840595842998,0.8469437652811735,0.8452462622973984,0.9498520312079636,0.8469437652811735
ExtraTreesClassifier,SMOTE,0.7907090464547677,0.8066973414488265,0.7907090464547677,0.733048315750241,0.9628732849071832,0.7907090464547677
