model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy
XGBoost,Under-Sampling,0.2396088019559902,0.6010213048009339,0.2396088019559902,0.10066342121438328,0.357487922705314,0.2396088019559902
CatBoostC,Under-Sampling,0.5246943765281173,0.697460324720474,0.5246943765281173,0.5850971267318494,0.4613526570048309,0.5246943765281173
MLPC-sgd,Under-Sampling,0.4924205378973105,0.6964274470421332,0.4924205378973105,0.5582339864481477,0.5048309178743962,0.4924205378973105
ExtraTreesClassifier,Under-Sampling,0.5691931540342299,0.756086457759344,0.5691931540342299,0.6261420613838502,0.5434782608695653,0.5691931540342299
XGBoost,Over-Sampling,0.24449877750611246,0.5457468467360217,0.24449877750611246,0.10885840167008869,0.36206618240516547,0.24449877750611246
CatBoostC,Over-Sampling,0.7178484107579463,0.7683158388263848,0.7178484107579463,0.7378813887877547,0.7563626580575734,0.7178484107579463
MLPC-sgd,Over-Sampling,0.8381418092909535,0.8389920793674207,0.8381418092909535,0.8384964609802923,0.9513586225450631,0.8381418092909535
ExtraTreesClassifier,Over-Sampling,0.7882640586797066,0.8143835519307563,0.7882640586797066,0.7261293406259197,0.9862792574656981,0.7882640586797066
XGBoost,SMOTE,0.35794621026894863,0.6624535910948148,0.35794621026894863,0.361458297753706,0.37928436911487756,0.35794621026894863
CatBoostC,SMOTE,0.7877750611246944,0.7735558230366292,0.7877750611246944,0.7649803870163941,0.8362658057573312,0.7877750611246944
MLPC-sgd,SMOTE,0.8381418092909535,0.8394583973927293,0.8381418092909535,0.8387471869942711,0.9442561205273069,0.8381418092909535
ExtraTreesClassifier,SMOTE,0.7951100244498778,0.8159438172725928,0.7951100244498778,0.739746258991426,0.9653483992467043,0.7951100244498778
